rating,date,reason
1,10172015,Flas
5,10172015,V nice Thanks 
5,10172015,Gold teen patti Lol funny game
5,10172015,What a game Love this game
1,10172015,Alla
5,10172015,nice game
5,10172015,Superb
5,10172015,Love It 
5,10172015,Nice time pass i enjoyed 
5,10172015,Wow Wow wow 
5,10172015,V.good Very nice game
4,10172015,Imran Nice teen patti
5,10172015,Full timepassss.... 
5,10172015,Good
5,10172015,Give me 5 cror bonus beacuse i give u 5 star :-)
5,10172015,Fit Good
1,10172015,Bahut hi ghatiya aur cheating game 
2,10172015,Paati is
5,10172015,Great game bro
5,10172015,Goog 
5,10172015,Kya batt hai 
5,10172015,Best game Dami cha
5,10172015,I love It
5,10172015,Love it Owsm game
5,10172015,Excellent Very good game
2,10172015,I like this v?ry mych
5,10172015,Great.. Loved it... ??????
5,10172015,Love u
5,10172015,Nind haram krdi is NY Love it????????
5,10172015,Hii Hii
3,10172015,K
3,10172015,Nadeem Old version
4,10172015,Khan baba
5,10172015,Nice Super game
5,10172015,Nice game but sorry to say no big card for me i lost all chips
5,10172015,Hamid 123456
5,10172015,Top rate game. Excellent all rounder
5,10172015,Nice Game
5,10172015,Super I pay is good but I not get 41000
4,10172015,This is mind game That's good
5,10172015,Ghanshyam Dass Very nice app.....
5,10172015,Lovely
5,10172015,Loving it Lovely
4,10172015,Plz fix bugs
5,10172015,Like Good
5,10172015,I loved this game LOVED IT
5,10172015,Good Paati
5,10172015,Ripal I like it very nice game awsome
5,10172015,Really good app. Plz i would appruciate if u increase the amt u get in daily bonus and the minimum amt u get.
5,10172015,Great Great
5,10172015,Amaging
5,10172015,Dhiraj Good
5,10172015,Nice app
2,10162015,luv 3patti
5,10162015,Love you
5,10162015,Nice cgame Easy to play for game
5,10162015,I just love ?? it
5,10162015,I love this game awesome
5,10162015,Nice game
5,10162015,Teen pati double gold Nice game
5,10162015,love it i love this game
5,10162015,Mast game yar Sameer
5,10162015,Zs 4463
5,10162015,Very Nice
1,10162015,Goog game Awesome and easy rules
1,10162015,Time pass
5,10162015,Enjoy Best game in the world
5,10162015,vgood I like it
5,10162015,Deadly One of the best games
5,10162015,Good Nice
5,10162015,do u play this game commons friends waiting for u have a money come with me tima pass game
5,10162015,Bad game Buttttttt I'm a bad boyyyyyy
5,10162015,Waqar Awesome
5,10162015,Oli Baksh Just love this game...its really good... i had win 26 cr .but now i have only 10 k lol...lost all ..btw will make more than last time...
5,10162015,Imran nagani
5,10162015,Nice . Like this
5,10162015,Lovely game Mohan
5,10162015,Satyam bhai
5,10162015,Love it Superb
4,10162015,Nice Ir'saras game
5,10162015,Nice tym pass game
5,10162015,love it cool app....
5,10162015,ala gem
4,10162015,REVIEWBY A.B.R
5,10162015,lov it
3,10162015,ok
5,10162015,sajanng sajaang
5,10162015,Nice game
5,10162015,Like it
1,10162015,Faltu game Cheat
5,10162015,Really i like this game
5,10162015,Very good game All the things are goods
5,10162015,Time pass Thanks
4,10162015,Very nice game This game is very fantastic :- I play this game....
3,10162015,Teen pati Perfect time pass
5,10162015,Vijaypal 3 patti
5,10162015,this is it by
5,10162015,Nice very nice This is most good game I ever played..just awesome
5,10162015,Gd game
5,10162015,Very good game Adityac083@gmail
1,10162015,Mohan Ooo
4,10162015,Very Good
4,10162015,3 patti Krishna
5,10162015,Sexy: In playing mood ;)
5,10162015,Paras Paras
5,10162015,Good App! Also try WILD WALL?? - Money Online! Download Wild Wallet Right Now! Do not forget to enter My Bonus ? ? d ? : 1_?_5_?_1_5_7.
2,10162015,jeet
5,10162015,Supper Dot talk me
5,10152015,So cute Enjoy very much
2,10152015,just fair game want buy a chip
5,10152015,Usman DEPEND ON UR GOOD LUCK
4,10152015,Good
5,10152015,Imm love in it Nice game imm addicted
5,10152015,nice Good game I love it
5,10152015,Loveing game This game is very interesting and loving this is my favorite game
2,10152015,Super Nice
1,10152015,Lanat They are making fools I loss 10lac and not a single game won out of 15. They want us to keep buying chips go to he'll going to delete once again fcuk off
5,10152015,fantastic
5,10152015,Nice Game
1,10152015,pathatic game i ever saw jb good cards ain to sab k pass he good card hote hn...or mostly log cheats k sath kheelte hein...how a person can win all the game...
4,10152015,Love this game
5,10152015,Faizal Pupar
5,10152015,Teen patti Loved it yaarr
5,10152015,Awesomeness !!!! Thank your so much 4r your greatest dedication 4r us
5,10152015,Good Time paas
5,10152015,Best game in world Good game kitna bar 5 staf du
5,10152015,Very good game
5,10152015,Awesoom Good game
5,10152015,Nice
5,10152015,Super game Best game
5,10152015,Love Nice
4,10152015,Manish MANISH
5,10152015,Nice game Game is nice tu nice to hui nais
5,10152015,Fjv Cih
4,10152015,Cash
5,10152015,Bilal What a fabulous game.
5,10152015,Love this game Kashif
5,10152015,I love this game Hahaha
5,10152015,Sr
5,10152015,Oo7 Good game
5,10152015,Love It Good
5,10152015,Lovely I like this game
5,10152015,i need special offer to buy chips
5,10152015,thank for this game
5,10152015,Best time pass Nice
5,10152015,???? ???? ???
5,10152015,Good
5,10152015,Teenpatti Nice game
1,10152015,Don't download Cheated game . If u win chips then Company ban ur account. Cheater
4,10152015,Same as old jungle teen Patti game. Just little changings are there.
5,10152015,Like it Coool
5,10152015,Teen pati gold Nice game
4,10152015,234 Wer
5,10152015,Nice game
5,10152015,Superb Very entertaining game
5,10152015,The gold Awesome game I have played
5,10152015,Usman elahi V good
5,10152015,I am liked Good gemas
5,10152015,Nice game I like it my fvrt
5,10152015,Classie
5,10152015,Veer Veer
5,10152015,Mk Very nice game
5,10152015,Awso
5,10152015,Ok
5,10152015,"Gud game...,!!!"
5,10152015,AVI PADVI Gooooood goooooooood gooood
3,10152015,Nice
5,10152015,Fg Ghu
5,10152015,Best game
5,10152015,GOOD TO PLAY WITH GUEST
5,10152015,Nice Game This is nice game I play it all time nice computation
5,10152015,So nixe I like this game v gud game
5,10152015,Irfan Maza a gaya
5,10152015,Ilove game Nic
